persona_id,persona_size,share_rank,promotion_score,structural_support_status,grounding_status,source_mix_top_5,candidate_source_concentration,weak_source_link,protected_distinct_candidate,borderline_candidate,local_promotion_status,promotion_status,workbook_policy_blocker,final_usable_persona,semantic_review_candidate,thin_evidence_candidate,strategic_redundancy_status,workbook_review_visible,promotion_grounding_status,reporting_readiness_status,exact_suppression_reason,primary_source
persona_01,4490,1.0,0.7945865680347863,structurally_supported,grounded_single,power_bi_community:30.3% | stackoverflow:14.1% | hubspot_community:14.1% | metabase_discussions:11.9% | github_discussions:10.1%,30.3,False,True,True,promoted_candidate_persona,promoted_persona,,True,False,False,not_evaluated,True,promoted_and_grounded,reviewable_but_not_deck_ready,promotion score 0.831 clears promotion threshold 0.69 with structurally supported and product-actionable evidence,power_bi_community
persona_02,2570,2.0,0.7855441908158854,structurally_supported,grounded_single,power_bi_community:38.7% | metabase_discussions:35.3% | github_discussions:13.9% | shopify_community:5.0% | hubspot_community:2.1%,38.7,False,True,True,promoted_candidate_persona,promoted_persona,,True,False,False,not_evaluated,True,promoted_and_grounded,reviewable_but_not_deck_ready,promotion score 0.850 clears promotion threshold 0.69 with structurally supported and product-actionable evidence,power_bi_community
persona_03,807,3.0,0.697971682671286,structurally_supported,grounded_single,power_bi_community:38.0% | metabase_discussions:35.2% | sisense_community:10.4% | github_discussions:9.9% | hubspot_community:3.1%,38.0,False,True,True,promoted_candidate_persona,promoted_persona,,True,False,True,not_evaluated,True,promoted_and_grounded,reviewable_but_not_deck_ready,promotion score 0.769 clears promotion threshold 0.69 with structurally supported and product-actionable evidence,power_bi_community
persona_04,598,4.0,0.7519588097053436,structurally_supported,grounded_single,github_discussions:18.1% | power_bi_community:15.1% | metabase_discussions:14.0% | stackoverflow:13.9% | shopify_community:10.2%,18.1,False,False,True,promoted_candidate_persona,exploratory_bucket,top_3_cluster_share_of_core_labeled=83.3 | weak_source_cost_centers_present,False,True,False,not_evaluated,False,promotion_constrained_by_workbook_policy,promotion_constrained_by_workbook_policy,promotion constrained by workbook concentration/source-balance policy | top_3_cluster_share_of_core_labeled=83.3 | weak_source_cost_centers_present | borderline_candidate | share_rank>2,github_discussions
persona_05,539,5.0,0.6909757338159966,structurally_supported,grounded_single,power_bi_community:45.3% | metabase_discussions:24.7% | sisense_community:12.2% | github_discussions:5.0% | shopify_community:4.3%,45.3,False,False,True,promoted_candidate_persona,exploratory_bucket,top_3_cluster_share_of_core_labeled=83.3 | weak_source_cost_centers_present,False,False,True,not_evaluated,False,promotion_constrained_by_workbook_policy,promotion_constrained_by_workbook_policy,promotion constrained by workbook concentration/source-balance policy | top_3_cluster_share_of_core_labeled=83.3 | weak_source_cost_centers_present | borderline_candidate | share_rank>2,power_bi_community
